ID,CastType,SkillProperty,SkillName,Attack,Magic,MoveSpeed,CastingRange,HitRadius,PreDelay,TotalDelay,Cooltime,StaminaCost,AdjType,AdjAmount,AdjTime,Description,Price
S101,Melee,,대검 기본 스킬,1.2,0,10,0,4,0.3,0.7,6,20,,,,장검을 내려찍으며 검기를 발사한다.,0
S102,Melee,,세검 기본 스킬,1.2,0,13,0,3,0.2,0.5,6,20,,,,검을 휘두르며 장풍 형태의 기운을 날린다.,0
S211,Melee,,근거리 둔화 스킬,1.5,0,10,0,5,0.5,1,10,20,,,,가까이서 둔화시킨다,100
S221,MeleeCC,,근거리 기절 스킬,1.5,0,10,0,5,0.5,1,10,20,,,,가까이서 기절시킨다,100
S231,MeleeCC,,근거리 중독 스킬,1.5,0,10,0,5,0.5,1,10,20,,,,가까이서 중독시킨다,100
S241,MeleeCC,,근거리 출혈 스킬,1.5,0,10,0,5,0.5,1,10,20,,,,가까이서 출혈시킨다,100
S251,MeleeCC,,근거리 경직 스킬,1.5,0,10,0,5,0.5,1,10,20,,,,가까이서 경직시킨다,100
S261,MeleeCC,,근거리 공중 스킬,1.5,0,0,0,5,0.5,1,10,20,,,,가까이서 공중에 띄운다,100
S271,MeleeCC,,근거리 넉백 스킬,1.5,0,0,0,5,0.5,1,10,20,,,,가까이서 넉백시킨다,100
S301,Ranged,,홀 기본스킬,0,1.2,10,8,0.5,0.2,0.4,6,20,,,,홀을 휘둘러 구 형태의 기운을 날려 공격한다.,0
S411,RangedCC,,원거리 둔화 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 둔화시킨다,100
S421,RangedCC,,원거리 기절 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 기절시킨다,100
S431,RangedCC,,원거리 중독 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 중독시킨다,100
S441,RangedCC,,원거리 출혈 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 출혈시킨다,100
S451,RangedCC,,원거리 경직 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 경직시킨다,100
S461,RangedCC,,원거리 공중 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 공중에 띄운다,100
S471,RangedCC,,원거리 넉백 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,멀리서 넉백시킨다,100
S501,Summon,,소환 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,뭔가 소환한다,100
S601,Around,,범위형 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격을 한다,100
S711,AroundCC,,범위형 둔화 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 둔화시킨다,100
S721,AroundCC,,범위형 기절 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 기절시킨다,100
S731,AroundCC,,범위형 중독 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 중독시킨다,100
S741,AroundCC,,범위형 출혈 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 출혈시킨다,100
S751,AroundCC,,범위형 혼란 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 경직시킨다,100
S761,AroundCC,,범위형 공중 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 공중에 띄운다,100
S771,AroundCC,,범위형 넉백 스킬,0.6,0,0,0,6,0.5,1,10,20,,,,범위 공격으로 넉백시킨다,100
S801,Buff,,버프 스킬,0,0,0,0,0,0,0.5,1,20,DAMAGE,1.2,10,데미지 버프,100
S802,Buff,,버프 스킬,0,0,0,0,0,0,0.5,1,20,WEAPON_CC,FATIGUE,10,무기에 피로,100
S803,Buff,,버프 스킬,0,0,0,0,0,0,0.5,1,20,WEAPON_CC,MELANCHOLY,10,무기에 우울,100
