ID,CastType,SkillProperty,SkillName,Attack,Magic,MoveSpeed,CastingRange,HitRadius,PreDelay,TotalDelay,Cooltime,StaminaCost,AdjType,AdjAmount,AdjTime,Description,Price
S101,Melee,Slash,근거리 무기 휘두르기,1.2,0,10,3,3,0.3,0.6,5,20,,,,근거리 무기 휘두르기,100
S102,Melee,Hit/Soul,근거리 주술 흩뿌리기,0,1.2,10,3,3,0.3,0.6,5,20,,,,근거리 주술 흩뿌리기,100
S221,MeleeCC,Slash,근거리 무기 휘두르기 및 기절,1.2,0,10,3,3,0.3,0.6,5,20,,,,근거리 무기 휘두르기 및 기절,100
S231,MeleeCC,Hit/Soul,근거리 주술 흩뿌리기 및 우울,0,1.2,10,3,3,0.3,0.6,5,20,,,,근거리 주술 흩뿌리기 및 우울,100
S241,MeleeCC,Slash,근거리 무기 휘두르기 및 갈취,1.2,0,10,3,3,0.3,0.6,5,20,,,,근거리 무기 휘두르기 및 갈취,100
S251,MeleeCC,Slash,근거리 무기 내려찍기 및 띄움,1.2,0,10,3,3,0.3,0.6,5,20,,,,근거리 무기 내려찍기 및 띄움,100
S301,Ranged,Hit/Soul,원거리 빠르고 약한 투사체 발사,0,1.2,15,10,0.5,0.3,0.6,5,20,,,,원거리 빠르고 약한 투사체 발사,100
S302,Ranged,Hit/Soul,원거리 느리고 강한 투사체 발사,0,1.5,10,10,0.5,0.3,0.6,5,20,,,,원거리 느리고 강한 투사체 발사,100
S303,Ranged,Explosion/Soul,원거리 느리고 강한 투사체 발사 및 폭발,0,1.5,8,10,1,0.3,0.6,5,20,,,,원거리 느리고 강한 투사체 발사 및 폭발,100
S304,Ranged,Explosion/Soul,원거리 빠르고 약한 투사체 포물선 폭발,0,1.2,15,10,1,0.3,0.6,5,20,,,,원거리 빠르고 약한 투사체 포물선 폭발,100
S305,Ranged,Explosion/Soul,원거리 느리고 강한 투사체 포물선 폭발,0,1.5,10,10,1,0.3,0.6,5,20,,,,원거리 느리고 강한 투사체 포물선 폭발,100
S306,Ranged,Explosion/Soul,원거리 중간 속도 투사체 두 개 포물선 폭발,0,1.2,12,10,1,0.3,0.6,5,20,,,,원거리 중간 속도 투사체 두 개 포물선 폭발,100
S307,Ranged,Explosion/Soul,원거리 투사체 포물선 발사 및 여러 번 폭발,0,1.2,12,10,1,0.3,0.6,5,20,,,,원거리 투사체 포물선 발사 및 여러 번 폭발,100
S308,Ranged,Light,원거리 검기 발사,1.2,0,15,10,2,0.3,0.6,5,20,,,,원거리 검기 발사,100
S309,Ranged,Light,원거리 검기 두 개 연속 발사,1.2,0,14,10,2,0.3,0.6,5,20,,,,원거리 검기 두 개 연속 발사,100
S411,RangedCC,Hit/Soul,원거리 투사체 발사 및 피로,0,1.2,12,10,0.5,0.3,0.6,5,20,,,,원거리 투사체 발사 및 피로,100
S412,RangedCC,Light,원거리 검기 발사 및 피로,1.2,0,12,10,0.5,0.3,0.6,5,20,,,,원거리 검기 발사 및 피로,100
S421,RangedCC,Explosion/Soul,원거리 포물선 폭발 및 우울,0,1.2,12,10,1,0.3,0.6,5,20,,,,원거리 포물선 폭발 및 우울,100
S461,RangedCC,Light,원거리 검기 발사 및 밀림,1.2,0,12,10,2,0.3,0.6,5,20,,,,원거리 검기 발사 및 밀림,100
S501,Summon,Explosion/Soul,원거리 혼불 기둥 소환,0,1.2,10,12,3,0.3,0.6,5,20,,,,원거리 혼불 기둥 소환,100
S502,Summon,Totem/Light,원거리 즉발딜 토템 소환,1.2,0,10,12,5,0.3,0.6,5,20,,,,원거리 내려찍는 즉발딜 토템 소환,100
S503,Summon,Totem,원거리 버프 토템 소환,0,0,10,12,5,0.3,0.6,5,20,,,10,원거리 버프 토템 소환,100
S511,Summon,Totem,원거리 토템 소환 및 피로,0,0,10,12,5,0.3,0.6,5,20,,,,원거리 토템 소환 및 피로,100
S581,Summon,Totem,원거리 토템 소환 및 속박,0,0,10,12,5,0.3,0.6,5,20,,,,원거리 토템 소환 및 속박,100
S591,Summon,Totem,원거리 토템 소환 및 상실,0,0,10,12,5,0.3,0.6,5,20,,,,원거리 토템 소환 및 상실,100
S601,Around,ShockWave/Light,범위 물리 권능 기운 방출의 느낌,1.2,0,10,6,6,0.3,0.6,5,20,,,,범위 물리 권능 기운 방출의 느낌,100
S602,Around,Slash,범위 물리 권능 WhirlWind 처럼 빙글빙글 휘두르기,1.2,0,10,3,3,0.3,0.6,5,20,,,,범위 물리 권능 WhirlWind 처럼 빙글빙글 휘두르기,100
S603,Around,Fog/Soul,범위 주술 권능 지속딜 장판,0,1.2,10,6,6,0.3,0.6,5,20,,,,범위 주술 권능 지속딜 장판,100
S711,AroundCC,Fog/Soul,범위 주술 권능 지속딜 및 피로,0,1.2,10,6,6,0.3,0.6,5,20,,,,범위 주술 권능 지속딜 및 피로,100
S751,AroundCC,Slash/Light,범위 물리 권능 내려찍는 모션 및 띄움,1.2,0,10,3,6,0.3,0.6,5,20,,,,범위 물리 권능 내려찍는 모션 및 띄움,100
S771,AroundCC,Fog,범위 주술 권능 딜 없이 속박,0,0,10,6,6,0.3,0.6,5,20,,,,범위 주술 권능 딜 없이 속박,100
S791,AroundCC,Fog,범위 주술 권능 딜 없이 상실,0,0,10,6,6,0.3,0.6,5,20,,,,범위 주술 권능 딜 없이 상실,100
S801,Buff,,최대체력 증가 버프,0,0,0,0,,0.5,1,10,20,,,10,최대체력 증가 버프,100
S802,Buff,,공격력 증가 버프,0,0,0,0,,0.5,1,10,20,DAMAGE,1.2,10,공격력 증가 버프,100
S811,Buff,,무기에 피로 부여,0,0,0,0,,0.5,1,10,20,WEAPON_CC,FATIGUE,10,무기에 피로 부여,100
S821,Buff,,무기에 기절 부여,0,0,0,0,,0.5,1,10,20,WEAPON_CC,STUN,10,무기에 기절 부여,100
S831,Buff,,무기에 우울 부여,0,0,0,0,,0.5,1,10,20,WEAPON_CC,MELANCHOLY,10,무기에 우울 부여,100
S841,Buff,,무기에 갈취 부여,0,0,0,0,,0.5,1,10,20,WEAPON_CC,EXTORTION,10,무기에 갈취 부여,100
S991,Melee,Slash,샘플 근접 스킬,1.2,0,10,0,4,0.3,0.7,6,20,,,,샘플입니다1,100
S992,Ranged,Hit,샘플 슈팅 스킬,0,1.2,10,10,0.5,0.5,1,10,20,,,,샘플입니다2,100
S993,Summmon,Totem,샘플 소환 스킬,0,1.5,10,10,0.5,0.5,1,10,20,,,,샘플입니다3,100
